AutoID,Date,Year,Month,MediaType,Topic,FullText
109215,8/26/2015,2015,8,twitter,NS,"goo. gl/ p2vio1 first data chooses BankC, Name Name to lead Name ow. ly/ 33frf2"
200533,8/1/2015,2015,8,twitter,NS,tsla Name Name Name. Name Name dlvr. it/ bjkBankCk$ tsla$ spxs$ BankAc$ Name
121279,10/6/2014,2014,10,facebook,S,i love how i can deposit my checks from work right into my account with the BankA app just by taking a picture!
213835,10/23/2014,2014,10,facebook,S,whats a rebanke good bank cause BankD be on that mess. Name tired of them messing with my account! dont be playing with my money:/
10597,8/3/2015,2015,8,twitter,PR,twit_hndl we recommend speaking with a banker. have you talked to one? call PHONE or visit a BankA store to discuss options. Name_Resp
167040,8/5/2015,2015,8,twitter,NS,ret_twit twit_hndl_BankD gospel...... INTERNET Ö
147966,8/8/2015,2015,8,twitter,PR,monster beverage boost price target by BankC(ranked 31st)to buy with 170 Name$ mnst
189462,1/22/2015,2015,1,facebook,PR,Name Name shared BankA centers photo. just announced! new Name Name the block to bring their the Name event tour to BankA center on june 19! Name and Name to accompany the pop phenoms. tickets on sale 1/ 31 at 10am on INTERNET.
218658,7/21/2015,2015,7,facebook,CS,yall r some crooked mother fuckers!!! i suggest nobody deal with BankB
114797,10/9/2014,2014,10,facebook,NS,hidden path Name- BankD mission main street Name vote for hidden path Name at https:// INTERNET- BankDs$ 3 Name mission main street Name program for small business is in full swing! apply or vote today! learn more here: INTERNET INTERNET
168846,8/25/2015,2015,8,twitter,PR,ret_twit twit_hndl: Name BankD analyst charged with leaking inside info on tech deals to friends bit. ly/ 1hcmj8i INTERNET
100258,9/12/2014,2014,9,facebook,NS,Name Name to Äúneutral Ä at BankC Name.(ebay )- Name list Name ‚ INTERNET
172581,8/6/2015,2015,8,twitter,PR,ret_twit twit_hndl: paying for college can be a balancing act. twit_hndl_BankA blog mentions how
144100,8/27/2015,2015,8,twitter,NS,Name sells azo 706.25: autozone receives Name rating from BankC Name.(azo)ì BankC Name. reissued their buy Ö ift. tt/ 1hhrog4
153767,12/23/2014,2014,12,facebook,PR,numerous jobs at BankC bank nigeria- jobmasternigeria INTERNET BankC bank nigeria
86003,8/1/2015,2015,8,twitter,NS,Name river Name í s Name rating Name at BankC Name.$ Name ift. tt/ 1fsgf4w
131672,11/2/2014,2014,11,facebook,NS,Name p Name status nigga rather BankD that dough! kg productions available september Name labor day full video(youtube)and stream audio Name(soundcloud)new Name coming out this september 2oth
55202,8/19/2015,2015,8,twitter,NS,god
9821,8/15/2015,2015,8,twitter,CS,twit_hndl_BankC Name given it to 3 people but you keep calling. happy to provide again in private.
158977,4/8/2015,2015,4,facebook,S,please explain to me that if i walk into your bank to cash a check then deposit said cash into my account Name told that for my safety i have to deposit it at a atm. how is this safe?? i thought BankB was a bank. if i was a business that have weekly deposits you want me to stand outside with my hard earn money from my business at a atm. please please please explain to me how a bank wont take cash deposits!!!!
199218,8/21/2015,2015,8,twitter,NS,tomorrow! sugar Name. we. cannot. wait.
42863,8/19/2015,2015,8,twitter,CS,twit_hndl i d be happy to give you a call to discuss your concerns and see what i can do to help. please dir_msg your name/ zip/ phone. Name_Resp
50166,8/11/2015,2015,8,twitter,S,twit_hndl_BankA too big to fail! too big to care! avoid! avoid!
36078,8/7/2015,2015,8,twitter,CS,"twit_hndl Name, Name. our team is here to help. please dir_msg your name/ zip/ phone & best time to call. no account numbers please. Name_Resp"
125785,8/15/2015,2015,8,twitter,S,"if BankB wasnt so shitty, they could get money off me the ethical way."
